,MaterialKey,Total
573,46000332,0.0
574,46000333,16.0
575,46000334,0.0
576,46000335,36.0
577,46000336,0.0
578,46000337,0.0
579,46000348,0.0
580,70000001,12.0
581,70000002,135.0
582,70000003,14.0
583,70000005,332.0
584,70000006,16.0
585,70000008,0.0
586,70000009,8.0
587,70000010,229.0
588,70000014,28.0
589,70000015,0.0
590,70000016,0.0
591,70000017,0.0
592,70000018,0.0
593,70000020,0.0
594,70000021,0.0
595,70000022,0.0
596,70000023,36.0
597,70000024,0.0
598,70000025,0.0
599,70000026,450.0
600,70000027,0.0
601,70000028,0.0
602,70000029,0.0
603,70000030,0.0
604,70000031,0.0
605,70000032,1848.0
606,70000033,193.0
607,70000034,0.0
608,70000035,18.0
609,70000036,0.0
610,70000037,0.0
611,70000039,0.0
612,70000040,200.0
613,70000041,0.0
614,70000043,0.0
615,70000044,45.0
616,70000045,0.0
617,70000046,0.0
618,70000047,0.0
619,70000048,0.0
620,70000049,0.0
621,70000050,0.0
622,70000052,0.0
623,70000053,0.0
624,70000054,0.0
625,70000055,0.0
626,70000056,0.0
627,70000057,0.0
628,70000058,0.0
629,70000060,0.0
630,70000061,0.0
631,70000062,0.0
632,70000063,0.0
633,70000064,0.0
634,70000065,0.0
635,70000066,0.0
636,70000067,0.0
637,70000071,0.0
638,70000072,0.0
639,70000073,0.0
640,70000076,0.0
641,70000077,243.0
642,70000078,13.0
643,70000079,0.0
644,70000080,0.0
645,70000081,3.0
646,70000082,0.0
647,70000084,0.0
648,70000085,0.0
649,70000086,0.0
650,70000087,0.0
651,70000089,0.0
652,70000090,0.0
653,70000091,0.0
654,70000092,0.0
655,70000093,0.0
656,70000094,0.0
657,70000095,0.0
658,70000097,3.0
659,70000098,619.0
660,70000099,125.0
661,70000100,0.0
662,70000101,369.0
663,70000102,0.0
664,70000104,13.0
665,70000105,0.0
666,70000106,0.0
667,70000107,0.0
668,70000108,11.0
669,70000111,12.0
670,70000112,0.0
671,70000114,900.0
672,70000118,0.0
673,70000122,0.0
674,70000123,0.0
675,70000124,0.0
676,70000125,0.0
677,70000126,0.0
678,70000127,40.0
679,70000128,0.0
680,70000129,1875.0
681,70000130,0.0
682,70000135,0.0
683,70000136,0.0
684,70000143,500.0
685,70000144,0.0
686,70000145,0.0
687,70000147,0.0
688,70000153,0.0
689,70000154,0.0
690,70000156,0.0
691,70000158,0.0
692,70000159,0.0
693,70000161,0.0
694,70000162,0.0
695,70000163,32.0
696,70000164,0.0
697,70000165,0.0
698,70000166,0.0
699,70000167,0.0
700,70000168,0.0
701,70000170,0.0
702,70000173,400.0
703,70000175,0.0
704,70000176,350.0
705,70000180,0.0
706,70000185,260.0
707,70000187,240.0
708,70000188,70.0
709,70000189,0.0
710,70000192,0.0
711,70000195,0.0
712,70000196,0.0
713,70000197,0.0
714,70000199,48.0
715,70000201,24.0
716,70000202,0.0
717,70000203,0.0
718,70000205,5.0
719,70000206,0.0
720,70000207,0.0
721,70000208,25.0
722,70000211,10.0
723,70000214,0.0
724,70000216,0.0
725,70000217,0.0
726,70000218,0.0
727,70000223,0.0
728,70000224,0.0
729,70000225,0.0
730,70000226,0.0
731,70000227,0.0
732,70000228,0.0
733,70000229,20.0
734,70000230,0.0
735,70000231,0.0
736,70000233,0.0
737,70000234,6.0
738,70000235,0.0
739,70000238,500.0
740,70000244,1700.0
741,70000246,0.0
742,70000247,0.0
743,70000248,0.0
744,70000251,0.0
745,70000253,0.0
746,70000257,0.0
747,70000258,0.0
748,70000259,24.0
749,70000261,0.0
750,70000262,1094.0
751,70000263,0.0
752,70000265,310.0
753,70000267,0.0
754,70000269,444.0
755,70000271,0.0
756,70000272,0.0
757,70000274,0.0
758,70000276,23.0
759,70000280,0.0
760,70000281,0.0
761,70000282,0.0
762,70000283,0.0
763,70000284,6990.0
764,70000285,0.0
765,70000286,2431.0
766,70000287,95.0
767,70000290,4888.0
768,70000291,3072.0
769,70000292,128.0
770,70000295,0.0
771,70000296,5720.0
772,70000297,0.0
773,70000298,0.0
774,70000301,0.0
775,70000302,0.0
776,70000303,0.0
777,70000304,0.0
778,70000305,416.0
779,70000306,20.0
780,70000307,0.0
781,70000308,48.0
782,70000309,0.0
783,70000310,0.0
784,70000312,40000.0
785,70000313,0.0
786,70000314,10360.0
787,70000315,0.0
788,70000316,0.0
789,70000318,0.0
790,70000319,0.0
791,70000321,0.0
792,70000322,0.0
793,70000323,480.0
794,70000334,0.0
795,70000335,0.0
796,70000337,0.0
797,70000338,0.0
798,70000339,0.0
799,70000340,0.0
800,70000341,0.0
801,70000342,0.0
802,70000343,0.0
803,70000344,0.0
804,70000345,0.0
805,70000346,0.0
806,70000348,0.0
807,70000349,1064.0
808,70000350,0.0
809,70000351,64.0
810,70000352,11.0
811,70000353,0.0
812,70000356,18.0
813,70000357,1128.0
814,70000358,10.0
815,70000359,26.0
816,70000360,0.0
817,70000361,0.0
818,70000362,0.0
819,70000363,0.0
820,70000364,0.0
821,70000365,0.0
822,70000367,0.0
823,70000369,0.0
824,70000370,0.0
825,70000371,0.0
826,70000372,0.0
827,70000374,0.0
828,70000376,0.0
829,70000377,0.0
830,70000379,2000.0
831,70000380,0.0
832,70000381,0.0
833,70000383,0.0
834,70000385,0.0
835,70000386,1280.0
836,70000387,0.0
837,70000388,0.0
838,70000390,0.0
839,70000391,0.0
840,70000392,0.0
841,70000394,0.0
842,70000396,0.0
843,70000397,720.0
844,70000398,5.0
845,70000400,0.0
846,70000401,0.0
847,70000402,0.0
848,70000403,0.0
849,70000405,0.0
850,70000406,200.0
851,70000407,300.0
852,70000408,160.0
853,70000409,0.0
854,70000410,0.0
855,70000411,0.0
856,70000412,0.0
857,70000413,38.0
858,70000414,0.0
859,70000415,0.0
860,70000416,0.0
861,70000417,0.0
862,70000419,0.0
863,70000420,0.0
864,70000421,0.0
865,70000422,0.0
866,70000424,384.0
867,70000427,0.0
868,70000428,360.0
869,70000429,0.0
870,70000430,0.0
871,70000431,0.0
872,70000433,0.0
873,70000434,0.0
874,70000435,0.0
875,70000436,0.0
876,70000437,0.0
877,70000438,0.0
878,70000440,0.0
879,70000441,0.0
880,70000442,0.0
881,70000443,0.0
882,70000444,0.0
883,70000446,0.0
884,70000447,0.0
885,70000448,0.0
886,70000449,0.0
887,70000450,300.0
888,70000451,0.0
889,70000452,320.0
890,70000453,10.0
891,70000455,0.0
892,70000457,256.0
893,70000459,0.0
894,70000461,0.0
895,70000462,118.0
896,70000463,81.0
897,70000464,28.0
898,70000465,1.0
899,70000466,0.0
900,70000468,0.0
901,70000472,0.0
902,70000473,0.0
903,70000474,0.0
904,70000475,502.0
905,70000477,0.0
906,70000478,20.0
907,70000479,0.0
908,70000480,0.0
909,70000486,0.0
910,70000488,0.0
911,70000490,0.0
912,70000491,0.0
913,70000493,0.0
914,70000494,20.0
915,70000495,0.0
916,70000497,0.0
917,70000498,0.0
918,70000505,0.0
919,70000506,0.0
920,70000507,0.0
921,70000508,0.0
922,70000511,15.0
923,70000512,2.0
924,70000515,0.0
925,70000516,56.0
926,70000519,14.0
927,70000522,0.0
928,70000523,0.0
929,70000524,0.0
930,70000525,0.0
931,70000526,0.0
932,70000527,27.0
933,70000531,45000.0
934,70000533,0.0
935,70000534,0.0
936,70000535,0.0
937,70000536,3300.0
938,70000538,14592.0
939,70000539,0.0
940,70000540,0.0
941,70000542,0.0
942,70000543,0.0
943,70000544,0.0
944,70000545,0.0
945,70000547,0.0
