,,2ª anterior,,,
TransactionTypeGroup,Produções,,,,
,,,,,
Sum Quantity,,,,,
AreaSapWorkCenter,OrderName,OrderOperationStatus,Total,,
,ACC.1600065661,Encerada,16.00,1600065661,
,ACC.1600065849,Encerada,81.00,1600065849,
,ACC.1600065850,Encerada,220.00,1600065850,
,ACC.1600066278,Encerada,4.00,1600066278,
,ACC.1600067541,Encerada,3.00,1600067541,
,ACC.1600067985,Encerada,30.00,1600067985,
,ACC.1600067989,Encerada,1.00,1600067989,
,ACC.1600067990,Definitiva,8.00,1600067990,
,ACC.1600067995,Encerada,30.00,1600067995,
,ACC.1600067996,Definitiva,51.00,1600067996,
,ACC.1600067998,Encerada,218.00,1600067998,
,ACC.1600068017,Encerada,124.00,1600068017,
,ACC.1600068018,Encerada,64.00,1600068018,
,ACC.1600068535,Definitiva,20.00,1600068535,
,ACC.1600068661,Encerada,10.00,1600068661,
,ACC.1600069288,Definitiva,2.00,1600069288,
,ACC.1600069750,Encerada,12.00,1600069750,
,ACC.1600069988,Encerada,134.00,1600069988,
,ACC.1600069989,Encerada,10.00,1600069989,
,ACC.1600069990,Encerada,30.00,1600069990,
,ACC.1600069997,Encerada,40.00,1600069997,
,ACC.1600070085,Definitiva,42.00,1600070085,
,ACC.1600070086,Definitiva,40.00,1600070086,
,ACC.1600070087,Definitiva,38.00,1600070087,
,ACC.1600070088,Definitiva,70.00,1600070088,
,ACC.1600070089,Definitiva,30.00,1600070089,
,ACC.1600070090,Definitiva,60.00,1600070090,
,ACC.1600070093,Definitiva,6.00,1600070093,
,ACC.1600070094,Definitiva,4.00,1600070094,
,ACC.1600070095,Definitiva,14.00,1600070095,
,ACC.1600070096,Definitiva,2.00,1600070096,
,ACC.1600070255,Definitiva,152.00,1600070255,
,ACC.1600070474,Definitiva,44.00,1600070474,
,ACC.1600070475,Definitiva,2.00,1600070475,
,ACC.1600070476,Encerada,2.00,1600070476,
,ACC.1600071389,Definitiva,8.00,1600071389,
,ACC.1600071766,Definitiva,46.00,1600071766,
,ACC.1600071768,Definitiva,30.00,1600071768,
,ACC.1600071801,Definitiva,24.00,1600071801,
,ACC.1600072068,Definitiva,10.00,1600072068,
,ACC.1600072456,Definitiva,30.00,1600072456,
CNMCOLBL,ACC.1600050223,Encerada,51.00,1600050223,
,ACC.1600050786,Encerada,12.00,1600050786,
,ACC.1600055004,Encerada,12.00,1600055004,
CNMEMBIN,ACC.1600030912,Encerada,130.00,1600030912,
,ACC.1600034923,Encerada,18.00,1600034923,
,ACC.1600038014,Encerada,520.00,1600038014,
,ACC.1600045305,Encerada,10.00,1600045305,
,ACC.1600046966,Encerada,94.00,1600046966,
,ACC.1600048059,Encerada,12.00,1600048059,
,ACC.1600048060,Encerada,40.00,1600048060,
,ACC.1600048867,Encerada,520.00,1600048867,
,ACC.1600048869,Encerada,48.00,1600048869,
,ACC.1600049650,Encerada,6.00,1600049650,
,ACC.1600050982,Encerada,1.00,1600050982,
,ACC.1600050983,Encerada,6.00,1600050983,
,ACC.1600050986,Encerada,17.00,1600050986,
,ACC.1600052670,Encerada,96.00,1600052670,
,ACC.1600052874,Encerada,4.00,1600052874,
,ACC.1600052875,Encerada,20.00,1600052875,
,ACC.1600052876,Encerada,14.00,1600052876,
,ACC.1600052877,Encerada,6.00,1600052877,
,ACC.1600052878,Encerada,1.00,1600052878,
,ACC.1600052879,Encerada,6.00,1600052879,
,ACC.1600052900,Encerada,17.00,1600052900,
,ACC.1600052901,Definitiva,2.00,1600052901,
,ACC.1600054456,Encerada,12.00,1600054456,
,ACC.1600054457,Encerada,18.00,1600054457,
,ACC.1600054688,Encerada,1.00,1600054688,
,ACC.1600054872,Encerada,13.00,1600054872,
,ACC.1600054873,Encerada,1.00,1600054873,
,ACC.1600056305,Encerada,12.00,1600056305,
,ACC.1600056306,Definitiva,48.00,1600056306,
,ACC.1600056322,Encerada,100.00,1600056322,
,ACC.1600056382,Encerada,24.00,1600056382,
,ACC.1600056797,Encerada,80.00,1600056797,
,ACC.1600057174,Encerada,20.00,1600057174,
,ACC.1600058736,Encerada,36.00,1600058736,
,ACC.1600059494,Encerada,40.00,1600059494,
,ACC.1600060925,Encerada,1.00,1600060925,
,ACC.1600061329,Encerada,180.00,1600061329,
,ACC.1600062710,Encerada,12.00,1600062710,
,ACC.1600062711,Encerada,3.00,1600062711,
,ACC.1600062933,Encerada,15.00,1600062933,
,ACC.1600063666,Encerada,12.00,1600063666,
,ACC.1600063832,Encerada,10.00,1600063832,
,ACC.1600063833,Encerada,1.00,1600063833,
,ACC.1600063834,Encerada,1.00,1600063834,
,ACC.1600064641,Encerada,10.00,1600064641,
,ACC.1600064653,Encerada,48.00,1600064653,
,ACC.1600064977,Encerada,1.00,1600064977,
,ACC.1600065032,Encerada,20.00,1600065032,
,ACC.1600065046,Encerada,5.00,1600065046,
,ACC.1600065830,Encerada,5.00,1600065830,
,ACC.1600068230,Encerada,3.00,1600068230,
,ACC.1600068801,Encerada,4.00,1600068801,
,ACC.1600068899,Definitiva,6.00,1600068899,
,ACC.1600068900,Definitiva,2.00,1600068900,
,ACC.1600068901,Definitiva,1.00,1600068901,
,ACC.1600069247,Encerada,1.00,1600069247,
,ACC.1600072295,Definitiva,400.00,1600072295,
CNMEMBMA,ACC.1600025685,Encerada,682.00,1600025685,
,ACC.1600038149,Encerada,2480.00,1600038149,
,ACC.1600038152,Encerada,2480.00,1600038152,
,ACC.1600038155,Encerada,2480.00,1600038155,
,ACC.1600038158,Encerada,2480.00,1600038158,
,ACC.1600038161,Encerada,2480.00,1600038161,
,ACC.1600038236,Encerada,350.00,1600038236,
,ACC.1600039733,Encerada,210.00,1600039733,
,ACC.1600039784,Encerada,432.00,1600039784,
,ACC.1600039787,Encerada,1488.00,1600039787,
,ACC.1600039790,Encerada,5.00,1600039790,
,ACC.1600040554,Encerada,24.00,1600040554,
,ACC.1600040557,Encerada,24.00,1600040557,
,ACC.1600040613,Encerada,280.00,1600040613,
,ACC.1600042157,Encerada,96.00,1600042157,
,ACC.1600042232,Encerada,832.00,1600042232,
,ACC.1600042241,Encerada,240.00,1600042241,
,ACC.1600042257,Encerada,576.00,1600042257,
,ACC.1600042263,Encerada,1210.00,1600042263,
,ACC.1600042266,Encerada,528.00,1600042266,
,ACC.1600042693,Encerada,560.00,1600042693,
,ACC.1600042700,Encerada,2310.00,1600042700,
,ACC.1600043027,Encerada,385.00,1600043027,
,ACC.1600043030,Encerada,560.00,1600043030,
,ACC.1600043033,Encerada,245.00,1600043033,
,ACC.1600044600,Encerada,72.00,1600044600,
,ACC.1600045014,Encerada,700.00,1600045014,
,ACC.1600045017,Encerada,90.00,1600045017,
,ACC.1600046841,Encerada,141.00,1600046841,
,ACC.1600047480,Encerada,1080.00,1600047480,
,ACC.1600047481,Encerada,2160.00,1600047481,
,ACC.1600047486,Encerada,2160.00,1600047486,
,ACC.1600047589,Encerada,416.00,1600047589,
,ACC.1600047646,Encerada,2646.00,1600047646,
,ACC.1600047661,Encerada,1000.00,1600047661,
,ACC.1600047665,Encerada,1056.00,1600047665,
,ACC.1600047673,Encerada,800.00,1600047673,
,ACC.1600047676,Encerada,104.00,1600047676,
,ACC.1600047707,Encerada,2310.00,1600047707,
,ACC.1600048017,Encerada,2310.00,1600048017,
,ACC.1600048020,Encerada,2310.00,1600048020,
,ACC.1600048029,Encerada,1680.00,1600048029,
,ACC.1600048037,Encerada,105.00,1600048037,
,ACC.1600048838,Encerada,1050.00,1600048838,
,ACC.1600048894,Encerada,1260.00,1600048894,
,ACC.1600049678,Encerada,1155.00,1600049678,
,ACC.1600049732,Encerada,72.00,1600049732,
,ACC.1600050319,Encerada,168.00,1600050319,
,ACC.1600050870,Encerada,1070.00,1600050870,
,ACC.1600050874,Encerada,864.00,1600050874,
,ACC.1600050897,Encerada,1210.00,1600050897,
,ACC.1600050901,Encerada,960.00,1600050901,
,ACC.1600050932,Encerada,2480.00,1600050932,
,ACC.1600050935,Encerada,2480.00,1600050935,
,ACC.1600052441,Encerada,210.00,1600052441,
,ACC.1600052444,Encerada,40.00,1600052444,
,ACC.1600052447,Encerada,70.00,1600052447,
,ACC.1600052468,Encerada,420.00,1600052468,
,ACC.1600052495,Encerada,2480.00,1600052495,
,ACC.1600052498,Encerada,2480.00,1600052498,
,ACC.1600052501,Definitiva,1280.00,1600052501,
,ACC.1600052504,Definitiva,2480.00,1600052504,
,ACC.1600052555,Encerada,704.00,1600052555,
,ACC.1600052649,Encerada,1488.00,1600052649,
,ACC.1600052652,Encerada,1488.00,1600052652,
,ACC.1600052655,Encerada,1488.00,1600052655,
,ACC.1600052658,Encerada,1488.00,1600052658,
,ACC.1600052661,Encerada,1488.00,1600052661,
,ACC.1600052664,Encerada,1488.00,1600052664,
,ACC.1600052667,Encerada,1488.00,1600052667,
,ACC.1600052678,Encerada,210.00,1600052678,
,ACC.1600052783,Encerada,1584.00,1600052783,
,ACC.1600052794,Encerada,144.00,1600052794,
,ACC.1600052817,Encerada,210.00,1600052817,
,ACC.1600052912,Encerada,525.00,1600052912,
,ACC.1600052915,Encerada,2160.00,1600052915,
,ACC.1600053079,Encerada,1080.00,1600053079,
,ACC.1600053138,Encerada,210.00,1600053138,
,ACC.1600053998,Encerada,35.00,1600053998,
,ACC.1600054237,Encerada,2310.00,1600054237,
,ACC.1600055197,Encerada,35.00,1600055197,
,ACC.1600056248,Encerada,1190.00,1600056248,
,ACC.1600056302,Encerada,80.00,1600056302,
,ACC.1600056315,Encerada,240.00,1600056315,
,ACC.1600056357,Encerada,50.00,1600056357,
,ACC.1600056385,Encerada,2310.00,1600056385,
,ACC.1600056438,Encerada,210.00,1600056438,
,ACC.1600058307,Encerada,2480.00,1600058307,
,ACC.1600058311,Encerada,2480.00,1600058311,
,ACC.1600058371,Encerada,105.00,1600058371,
,ACC.1600059969,Encerada,258.00,1600059969,
,ACC.1600060046,Encerada,96.00,1600060046,
,ACC.1600060049,Encerada,175.00,1600060049,
,ACC.1600060397,Encerada,50.00,1600060397,
,ACC.1600060509,Encerada,90.00,1600060509,
,ACC.1600062018,Encerada,105.00,1600062018,
,ACC.1600066983,Encerada,48.00,1600066983,
,ACC.1600069744,Encerada,875.00,1600069744,
,ACC.1600069745,Encerada,1050.00,1600069745,
,ACC.1600070819,Encerada,144.00,1600070819,
,ACC.1600070977,Encerada,175.00,1600070977,
CNMEMBMM,ACC.1600034463,Encerada,960.00,1600034463,
,ACC.1600034470,Encerada,1260.00,1600034470,
,ACC.1600037631,Encerada,720.00,1600037631,
,ACC.1600037960,Encerada,837.00,1600037960,
,ACC.1600037977,Encerada,2160.00,1600037977,
,ACC.1600040000,Encerada,11.00,1600040000,
,ACC.1600040051,Encerada,576.00,1600040051,
,ACC.1600040060,Encerada,1728.00,1600040060,
,ACC.1600040070,Encerada,300.00,1600040070,
,ACC.1600040073,Encerada,120.00,1600040073,
,ACC.1600040076,Encerada,600.00,1600040076,
,ACC.1600040079,Encerada,125.00,1600040079,
,ACC.1600042151,Encerada,168.00,1600042151,
,ACC.1600042154,Encerada,75.00,1600042154,
,ACC.1600042179,Encerada,80.00,1600042179,
,ACC.1600042201,Encerada,64.00,1600042201,
,ACC.1600043024,Encerada,80.00,1600043024,
,ACC.1600043937,Encerada,576.00,1600043937,
,ACC.1600044376,Encerada,36.00,1600044376,
,ACC.1600047540,Encerada,576.00,1600047540,
,ACC.1600047545,Encerada,1584.00,1600047545,
,ACC.1600047580,Encerada,4320.00,1600047580,
,ACC.1600048010,Encerada,840.00,1600048010,
,ACC.1600048013,Encerada,3360.00,1600048013,
,ACC.1600048033,Encerada,5.00,1600048033,
,ACC.1600048054,Encerada,20.00,1600048054,
,ACC.1600049737,Encerada,217.00,1600049737,
,ACC.1600049740,Encerada,100.00,1600049740,
,ACC.1600050863,Encerada,112.00,1600050863,
,ACC.1600051009,Encerada,180.00,1600051009,
,ACC.1600051014,Encerada,150.00,1600051014,
,ACC.1600051019,Encerada,930.00,1600051019,
,ACC.1600051936,Encerada,240.00,1600051936,
,ACC.1600051939,Encerada,450.00,1600051939,
,ACC.1600051962,Encerada,60.00,1600051962,
,ACC.1600051965,Encerada,90.00,1600051965,
,ACC.1600051972,Encerada,120.00,1600051972,
,ACC.1600051975,Encerada,1100.00,1600051975,
,ACC.1600051976,Encerada,1100.00,1600051976,
,ACC.1600052224,Encerada,990.00,1600052224,
,ACC.1600052326,Encerada,1056.00,1600052326,
,ACC.1600052458,Encerada,9.00,1600052458,
,ACC.1600052461,Encerada,27.00,1600052461,
,ACC.1600052487,Encerada,432.00,1600052487,
,ACC.1600052492,Encerada,1584.00,1600052492,
,ACC.1600052673,Encerada,27.00,1600052673,
,ACC.1600053133,Encerada,960.00,1600053133,
,ACC.1600054692,Encerada,27.00,1600054692,
,ACC.1600054870,Encerada,4320.00,1600054870,
,ACC.1600055208,Encerada,20.00,1600055208,
,ACC.1600056351,Encerada,504.00,1600056351,
,ACC.1600056354,Encerada,200.00,1600056354,
,ACC.1600056446,Encerada,3483.00,1600056446,
,ACC.1600056511,Encerada,840.00,1600056511,
,ACC.1600059974,Encerada,264.00,1600059974,
,ACC.1600059977,Encerada,220.00,1600059977,
,ACC.1600060054,Encerada,300.00,1600060054,
,ACC.1600060057,Encerada,900.00,1600060057,
,ACC.1600062719,Encerada,1100.00,1600062719,
,ACC.1600063703,Definitiva,576.00,1600063703,
,ACC.1600064978,Encerada,840.00,1600064978,
,ACC.1600065001,Definitiva,1680.00,1600065001,
,ACC.1600065144,Encerada,225.00,1600065144,
