Sum Quantity,,,
MaterialKey,MaterialName,Lot,Total
33000008,CT. TRIT N V - CRU CALÇOS MANCHA,CORT210243,0
33000017,CT. TRIT N V - CRU REFUGO,CORT200083,0
33000017,CT. TRIT N V - CRU REFUGO,CORT200089,0
33000017,CT. TRIT N V - CRU REFUGO,CORT212135,0
33000017,CT. TRIT N V - CRU REFUGO,MELIV 0000,16
33000018,CT. TRIT N V - CRU VIRGEM,CORT200058,0
33000018,CT. TRIT N V - CRU VIRGEM,CORT200069,0
33000018,CT. TRIT N V - CRU VIRGEM,CORT200075,0
33000018,CT. TRIT N V - CRU VIRGEM,CORT200108,0
33000018,CT. TRIT N V - CRU VIRGEM,CORT200144,0
33000018,CT. TRIT N V - CRU VIRGEM,CORT200159,0
33000018,CT. TRIT N V - CRU VIRGEM,CORT200209,0
33000018,CT. TRIT N V - CRU VIRGEM,CORT200215,0
33000018,CT. TRIT N V - CRU VIRGEM,CORT200254,0
33000018,CT. TRIT N V - CRU VIRGEM,CORT200261,0
33000018,CT. TRIT N V - CRU VIRGEM,CORT200297,0
33000018,CT. TRIT N V - CRU VIRGEM,CORT200299,0
33000018,CT. TRIT N V - CRU VIRGEM,CORT200336,0
33000018,CT. TRIT N V - CRU VIRGEM,CORT200337,0
33000018,CT. TRIT N V - CRU VIRGEM,CORT200354,0
33000018,CT. TRIT N V - CRU VIRGEM,CORT200366,0
33000018,CT. TRIT N V - CRU VIRGEM,CORT200382,0
33000018,CT. TRIT N V - CRU VIRGEM,CORT200412,0
33000018,CT. TRIT N V - CRU VIRGEM,CORT200415,0
33000018,CT. TRIT N V - CRU VIRGEM,CORT200418,0
33000018,CT. TRIT N V - CRU VIRGEM,CORT200419,0
33000018,CT. TRIT N V - CRU VIRGEM,CORT200432,0
33000018,CT. TRIT N V - CRU VIRGEM,CORT200455,0
33000018,CT. TRIT N V - CRU VIRGEM,CORT200461,0
33000018,CT. TRIT N V - CRU VIRGEM,CORT200476,0
33000018,CT. TRIT N V - CRU VIRGEM,CORT200503,0
33000018,CT. TRIT N V - CRU VIRGEM,CORT200565,0
33000018,CT. TRIT N V - CRU VIRGEM,CORT200572,0
33000018,CT. TRIT N V - CRU VIRGEM,CORT200581,0
33000018,CT. TRIT N V - CRU VIRGEM,CORT200600,0
33000018,CT. TRIT N V - CRU VIRGEM,CORT200620,0
33000018,CT. TRIT N V - CRU VIRGEM,CORT200629,0
33000018,CT. TRIT N V - CRU VIRGEM,CORT200636,0
33000018,CT. TRIT N V - CRU VIRGEM,CORT200649,0
33000018,CT. TRIT N V - CRU VIRGEM,CORT200650,0
33000018,CT. TRIT N V - CRU VIRGEM,CORT200651,0
33000018,CT. TRIT N V - CRU VIRGEM,CORT200661,0
33000018,CT. TRIT N V - CRU VIRGEM,CORT200662,0
33000018,CT. TRIT N V - CRU VIRGEM,CORT200668,0
33000018,CT. TRIT N V - CRU VIRGEM,CORT200670,0
33000018,CT. TRIT N V - CRU VIRGEM,CORT200675,0
33000018,CT. TRIT N V - CRU VIRGEM,CORT200695,0
33000018,CT. TRIT N V - CRU VIRGEM,CORT200696,0
33000018,CT. TRIT N V - CRU VIRGEM,CORT200702,0
33000018,CT. TRIT N V - CRU VIRGEM,CORT200703,0
33000018,CT. TRIT N V - CRU VIRGEM,CORT200716,0
33000018,CT. TRIT N V - CRU VIRGEM,CORT200734,0
33000018,CT. TRIT N V - CRU VIRGEM,CORT200748,0
33000018,CT. TRIT N V - CRU VIRGEM,CORT200755,0
33000018,CT. TRIT N V - CRU VIRGEM,CORT200762,0
33000018,CT. TRIT N V - CRU VIRGEM,CORT200770,0
33000018,CT. TRIT N V - CRU VIRGEM,CORT200789,0
33000018,CT. TRIT N V - CRU VIRGEM,CORT200796,0
33000018,CT. TRIT N V - CRU VIRGEM,CORT200841,0
33000018,CT. TRIT N V - CRU VIRGEM,CORT200852,0
33000018,CT. TRIT N V - CRU VIRGEM,CORT200862,0
33000018,CT. TRIT N V - CRU VIRGEM,CORT200872,0
